V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
0.0,2.0,v6,v3,0.14,v2,1.0,0.0,v1,1.0,32306.0,v3,v2,v5,v3,0.49,670.0,33.6,v2,47.0,70.4,0.955,277.0,0.0,v1,0.0,462.0,4.0,0.913,877.0,v1,0.607,605.0,v2,4417.0,0.15,v1,v2,v4,v1,3.0,6236.0,2.0,v4,7.48,3.0,v1,v1,v3,0.0,v1,3.0,3.77,0.0,v5,v4,v2,v2,69921.0,6519.0,76.3,1.0,38.5,v1,0.0,v1,13251.0,v2,v2,6.43,1.0,6228.0,0.61,5692.0,0.0,66.0,79.4,5.0,v2,1.0,v2,5.43,v1,v2,56.8,4.46,3.0,444.0,v4,v2,1.0,v2,v1,1.0,6001.0,v3,v1,v2,v1,v1,0
1.0,2.0,v1,v2,0.29,v2,0.0,1.0,v2,1.0,44477.0,v1,v2,v1,v2,0.11,883.0,31.0,v2,51.0,84.8,0.808,215.0,2.0,v2,0.0,435.0,3.0,0.935,708.0,v2,0.636,615.0,v3,5916.0,0.853,v2,v3,v1,v1,2.0,5651.0,0.0,v5,7.3,3.0,v3,v2,v5,0.0,v5,1.0,3.77,0.0,v5,v5,v3,v2,45212.0,6823.0,54.0,1.0,32.3,v3,0.0,v2,23376.0,v2,v1,6.4,2.0,6125.0,0.15,3116.0,1.0,63.0,79.2,3.0,v4,0.0,v2,3.37,v2,v2,45.9,4.24,0.0,435.0,v6,v3,1.0,v2,v2,0.0,5906.0,v1,v1,v6,v2,v1,0
1.0,2.0,v6,v2,0.06,v1,0.0,3.0,v4,1.0,38826.0,v3,v2,v3,v2,0.12,262.0,31.1,v1,51.0,70.4,0.909,246.0,1.0,v1,1.0,385.0,2.0,0.94,881.0,v1,0.455,650.0,v2,6758.0,0.155,v4,v2,v3,v1,2.0,7364.0,4.0,v5,8.54,3.0,v3,v3,v2,0.0,v5,0.0,6.92,1.0,v1,v3,v3,v1,62759.0,6441.0,44.5,0.0,30.6,v2,1.0,v1,19379.0,v5,v3,5.57,0.0,7027.0,0.58,2673.0,0.0,73.0,79.5,5.0,v2,0.0,v1,4.08,v2,v2,46.3,7.84,2.0,472.0,v4,v3,1.0,v1,v1,0.0,5402.0,v5,v1,v4,v1,v1,0
0.0,3.0,v4,v3,0.33,v2,0.0,3.0,v4,1.0,45118.0,v1,v2,v5,v2,0.3,777.0,33.4,v1,48.0,80.9,0.848,251.0,3.0,v4,0.0,282.0,2.0,0.934,554.0,v1,0.617,634.0,v2,5278.0,0.133,v4,v1,v5,v1,2.0,6223.0,3.0,v5,8.0,3.0,v1,v1,v6,2.0,v1,0.0,4.48,0.0,v3,v2,v2,v2,62979.0,5848.0,84.2,0.0,30.1,v5,0.0,v1,20308.0,v4,v3,6.59,0.0,6053.0,0.48,4074.0,0.0,68.0,80.8,4.0,v1,0.0,v3,3.63,v2,v1,44.7,7.64,0.0,438.0,v1,v3,0.0,v2,v1,1.0,5734.0,v2,v1,v6,v2,v1,0
1.0,0.0,v5,v1,0.22,v3,0.0,1.0,v4,1.0,71924.0,v2,v2,v2,v1,0.46,818.0,33.1,v2,50.0,81.3,0.918,251.0,1.0,v3,0.0,467.0,0.0,0.916,880.0,v1,0.608,599.0,v1,4398.0,0.158,v2,v1,v5,v1,3.0,5400.0,0.0,v5,7.76,0.0,v2,v3,v5,1.0,v5,0.0,4.97,0.0,v4,v4,v2,v1,53176.0,6040.0,16.6,0.0,29.4,v4,2.0,v1,19373.0,v5,v4,6.57,0.0,6571.0,0.46,4581.0,1.0,86.0,81.9,3.0,v5,0.0,v2,3.78,v3,v2,47.3,7.37,1.0,439.0,v6,v2,2.0,v1,v1,1.0,5100.0,v1,v3,v4,v2,v1,0
0.0,1.0,v2,v3,0.21,v1,1.0,3.0,v2,2.0,82431.0,v1,v2,v3,v6,0.13,765.0,33.3,v2,41.0,72.5,0.861,274.0,4.0,v2,1.0,342.0,2.0,0.927,823.0,v1,0.455,620.0,v5,6637.0,0.369,v5,v4,v5,v2,1.0,6291.0,3.0,v5,7.44,0.0,v4,v2,v1,2.0,v2,1.0,5.3,0.0,v1,v2,v2,v3,54219.0,6979.0,40.0,0.0,37.0,v4,0.0,v2,21311.0,v3,v4,7.34,3.0,6505.0,0.15,2880.0,2.0,66.0,79.3,4.0,v4,1.0,v1,4.1,v1,v2,46.1,4.73,0.0,802.0,v4,v2,1.0,v1,v1,1.0,5147.0,v3,v2,v4,v1,v2,1
0.0,2.0,v4,v3,0.27,v2,1.0,1.0,v1,3.0,86569.0,v2,v2,v1,v4,0.28,855.0,31.5,v1,49.0,78.5,0.806,198.0,3.0,v4,1.0,406.0,2.0,0.909,704.0,v2,0.622,654.0,v4,4110.0,0.216,v1,v4,v3,v2,3.0,6400.0,3.0,v5,7.29,3.0,v2,v2,v1,2.0,v2,3.0,6.51,0.0,v1,v5,v1,v1,52613.0,6363.0,67.7,0.0,37.1,v1,2.0,v2,21618.0,v1,v1,6.24,2.0,6903.0,0.36,2582.0,0.0,86.0,83.5,3.0,v3,0.0,v2,6.37,v1,v1,47.0,7.67,2.0,409.0,v4,v1,1.0,v2,v2,0.0,5250.0,v2,v1,v6,v1,v2,1
0.0,2.0,v1,v3,0.19,v3,1.0,3.0,v1,2.0,93625.0,v2,v1,v2,v4,0.12,670.0,37.2,v1,33.0,75.0,0.921,217.0,1.0,v1,1.0,426.0,1.0,0.912,871.0,v1,0.613,606.0,v5,5564.0,0.143,v5,v2,v2,v1,2.0,6220.0,1.0,v2,7.39,3.0,v6,v2,v5,1.0,v4,2.0,5.11,0.0,v4,v2,v1,v2,43307.0,5695.0,55.1,0.0,51.0,v2,2.0,v1,17193.0,v5,v3,5.58,1.0,6864.0,0.27,2967.0,2.0,70.0,82.6,4.0,v4,0.0,v1,6.5,v2,v1,44.6,5.67,3.0,441.0,v5,v1,1.0,v2,v1,1.0,5624.0,v1,v1,v2,v1,v1,0
0.0,2.0,v5,v4,0.31,v2,1.0,1.0,v4,3.0,35283.0,v1,v1,v5,v4,0.38,850.0,36.5,v1,50.0,68.2,0.869,255.0,4.0,v2,1.0,315.0,4.0,0.93,700.0,v1,0.637,647.0,v5,4005.0,0.371,v4,v2,v2,v2,1.0,6402.0,1.0,v4,7.37,3.0,v1,v3,v4,1.0,v4,3.0,6.4,1.0,v5,v5,v2,v2,41480.0,6818.0,49.8,1.0,61.2,v1,0.0,v1,20196.0,v2,v1,6.1,0.0,6541.0,0.21,2728.0,0.0,89.0,80.5,4.0,v1,0.0,v4,6.36,v1,v1,44.5,4.05,1.0,472.0,v3,v2,0.0,v2,v2,1.0,5537.0,v1,v1,v4,v2,v3,0
1.0,1.0,v6,v4,0.04,v2,1.0,2.0,v3,3.0,35642.0,v3,v1,v3,v4,0.17,752.0,31.9,v2,39.0,69.4,0.922,192.0,1.0,v3,1.0,467.0,0.0,0.941,814.0,v2,0.624,602.0,v2,5925.0,0.151,v5,v4,v2,v2,1.0,6254.0,2.0,v2,7.45,3.0,v2,v3,v3,0.0,v2,2.0,7.28,0.0,v5,v2,v3,v2,54946.0,6502.0,21.8,1.0,32.0,v1,1.0,v2,16085.0,v3,v1,7.02,0.0,6057.0,0.47,2344.0,1.0,83.0,82.9,2.0,v4,1.0,v3,3.62,v3,v1,47.5,4.33,0.0,457.0,v4,v3,2.0,v1,v2,0.0,5551.0,v1,v1,v6,v2,v3,1
0.0,1.0,v6,v3,0.23,v3,1.0,3.0,v1,3.0,71940.0,v1,v1,v4,v2,0.25,873.0,37.1,v2,51.0,82.6,0.815,243.0,3.0,v4,0.0,292.0,2.0,0.909,880.0,v1,0.609,646.0,v4,5281.0,0.756,v3,v2,v2,v1,1.0,6297.0,0.0,v5,8.39,3.0,v5,v1,v6,0.0,v2,1.0,6.89,1.0,v1,v2,v2,v1,52727.0,6533.0,32.5,0.0,33.6,v1,1.0,v1,16085.0,v1,v1,6.59,1.0,6891.0,0.54,7721.0,0.0,90.0,79.5,4.0,v2,0.0,v3,5.39,v2,v1,46.4,3.31,2.0,381.0,v4,v1,0.0,v2,v2,1.0,5737.0,v2,v1,v1,v1,v4,1
1.0,4.0,v4,v2,0.46,v3,0.0,2.0,v3,3.0,46929.0,v2,v2,v2,v6,0.38,798.0,33.5,v2,40.0,68.5,0.906,192.0,1.0,v2,0.0,446.0,0.0,0.941,685.0,v2,0.465,657.0,v4,3993.0,0.829,v1,v3,v5,v2,2.0,6289.0,0.0,v1,8.33,3.0,v3,v3,v3,1.0,v3,1.0,4.45,1.0,v5,v2,v3,v2,46289.0,6469.0,52.4,0.0,30.2,v4,0.0,v1,15434.0,v5,v1,6.74,0.0,6749.0,0.5,2412.0,0.0,69.0,79.9,4.0,v5,1.0,v4,6.52,v1,v1,47.0,3.64,2.0,661.0,v6,v1,0.0,v2,v2,1.0,5133.0,v3,v3,v5,v1,v1,0
1.0,4.0,v3,v3,0.12,v3,0.0,3.0,v1,3.0,42729.0,v1,v1,v2,v1,0.27,857.0,33.4,v1,58.0,66.2,0.887,221.0,3.0,v2,0.0,286.0,4.0,0.942,738.0,v2,0.442,592.0,v6,5207.0,0.356,v4,v4,v2,v1,0.0,5500.0,4.0,v1,7.53,3.0,v6,v3,v3,0.0,v5,2.0,6.9,0.0,v2,v4,v1,v3,69058.0,5833.0,25.1,0.0,29.9,v4,2.0,v2,14114.0,v4,v2,6.62,1.0,6873.0,0.49,7734.0,1.0,91.0,79.4,3.0,v2,1.0,v1,3.64,v3,v1,44.9,7.71,0.0,473.0,v6,v2,2.0,v1,v2,1.0,5584.0,v4,v2,v6,v1,v3,0
1.0,3.0,v5,v3,0.04,v2,0.0,2.0,v4,0.0,59465.0,v2,v2,v4,v6,0.09,826.0,37.1,v2,53.0,69.7,0.93,255.0,3.0,v4,0.0,385.0,0.0,0.932,549.0,v1,0.622,659.0,v4,4532.0,0.631,v4,v4,v3,v2,2.0,6402.0,4.0,v2,8.0,0.0,v3,v1,v3,1.0,v5,3.0,5.23,0.0,v1,v1,v1,v2,53248.0,6284.0,74.9,1.0,42.1,v3,1.0,v2,16084.0,v1,v2,5.57,3.0,5707.0,0.74,4236.0,1.0,69.0,82.3,4.0,v3,1.0,v4,6.01,v1,v1,46.4,4.32,1.0,707.0,v4,v3,2.0,v2,v1,1.0,5235.0,v3,v1,v3,v2,v5,0
1.0,2.0,v2,v4,0.48,v3,1.0,3.0,v1,3.0,90220.0,v2,v1,v5,v1,0.19,560.0,34.8,v2,40.0,81.4,0.918,185.0,1.0,v2,0.0,361.0,1.0,0.914,878.0,v2,0.551,646.0,v1,6480.0,0.135,v2,v2,v4,v1,3.0,6331.0,4.0,v3,7.78,1.0,v2,v2,v2,2.0,v4,1.0,3.81,0.0,v1,v1,v1,v2,52849.0,5868.0,75.4,0.0,41.5,v4,2.0,v2,19938.0,v4,v1,6.88,0.0,6566.0,0.15,6005.0,0.0,70.0,79.6,1.0,v3,0.0,v3,6.48,v2,v1,46.9,7.5,2.0,441.0,v5,v3,1.0,v2,v1,1.0,5111.0,v2,v3,v6,v1,v5,0
0.0,0.0,v2,v3,0.35,v3,1.0,2.0,v4,0.0,71917.0,v1,v1,v1,v6,0.49,611.0,27.9,v2,64.0,73.6,0.955,246.0,2.0,v3,0.0,348.0,3.0,0.943,691.0,v2,0.612,612.0,v1,6672.0,0.531,v1,v2,v3,v1,2.0,6614.0,3.0,v5,7.4,3.0,v2,v1,v4,2.0,v1,3.0,5.05,0.0,v2,v3,v3,v3,55160.0,7083.0,45.5,1.0,60.2,v2,0.0,v1,13851.0,v4,v3,7.34,0.0,6467.0,0.53,2293.0,1.0,64.0,83.8,1.0,v1,1.0,v4,4.13,v3,v1,44.3,6.28,3.0,398.0,v3,v1,1.0,v1,v1,0.0,5625.0,v4,v1,v2,v1,v2,1
1.0,1.0,v6,v1,0.04,v3,1.0,3.0,v1,1.0,72196.0,v3,v1,v2,v2,0.18,880.0,25.7,v1,41.0,70.1,0.833,225.0,1.0,v1,1.0,370.0,3.0,0.943,827.0,v1,0.473,605.0,v5,5252.0,0.475,v3,v3,v5,v2,3.0,5429.0,2.0,v2,7.49,0.0,v6,v3,v4,1.0,v4,1.0,6.35,0.0,v1,v4,v1,v2,57215.0,5732.0,25.2,0.0,35.7,v2,0.0,v1,19727.0,v3,v1,5.57,1.0,6571.0,0.59,6395.0,0.0,86.0,81.2,0.0,v2,1.0,v3,3.6,v3,v2,60.3,7.99,0.0,465.0,v4,v2,1.0,v2,v2,1.0,5229.0,v5,v1,v5,v2,v3,0
1.0,3.0,v6,v2,0.06,v1,0.0,1.0,v1,0.0,46493.0,v1,v1,v3,v1,0.15,280.0,36.7,v1,42.0,72.6,0.842,248.0,2.0,v4,0.0,289.0,4.0,0.91,878.0,v1,0.591,601.0,v2,4603.0,0.721,v1,v3,v4,v1,1.0,6061.0,2.0,v1,7.63,1.0,v3,v3,v6,0.0,v5,0.0,4.9,0.0,v5,v5,v3,v3,49383.0,5757.0,77.5,0.0,53.7,v4,2.0,v2,17202.0,v1,v4,5.57,0.0,6843.0,0.3,7074.0,2.0,69.0,80.5,1.0,v2,1.0,v3,4.07,v2,v2,47.0,6.53,0.0,439.0,v2,v1,0.0,v2,v2,0.0,5521.0,v2,v2,v2,v2,v4,1
0.0,0.0,v2,v1,0.06,v1,1.0,2.0,v3,1.0,34730.0,v3,v2,v2,v3,0.46,601.0,37.2,v1,40.0,82.9,0.931,281.0,0.0,v2,0.0,367.0,2.0,0.912,548.0,v2,0.579,653.0,v6,4917.0,0.15,v3,v4,v1,v2,1.0,6267.0,2.0,v4,7.94,1.0,v1,v2,v1,0.0,v1,1.0,4.37,1.0,v5,v3,v1,v3,54283.0,6418.0,50.5,0.0,30.9,v5,2.0,v1,21519.0,v2,v2,6.57,0.0,6143.0,0.51,3240.0,2.0,66.0,79.6,4.0,v5,0.0,v4,6.08,v2,v2,47.3,7.52,2.0,709.0,v2,v3,2.0,v2,v1,0.0,5878.0,v2,v1,v5,v2,v5,1
0.0,3.0,v4,v3,0.29,v2,0.0,0.0,v1,1.0,36469.0,v2,v2,v2,v6,0.56,579.0,36.6,v1,43.0,75.3,0.935,221.0,2.0,v2,1.0,475.0,3.0,0.909,546.0,v1,0.634,600.0,v3,4036.0,0.181,v2,v4,v2,v1,1.0,5635.0,1.0,v2,7.73,3.0,v2,v1,v5,1.0,v2,2.0,5.76,1.0,v4,v1,v3,v1,40610.0,5828.0,42.3,0.0,49.7,v1,2.0,v2,20226.0,v1,v4,6.94,0.0,6571.0,0.15,2385.0,2.0,85.0,80.7,3.0,v2,0.0,v1,4.13,v3,v2,46.4,7.59,3.0,484.0,v3,v1,1.0,v1,v2,0.0,5810.0,v2,v3,v2,v2,v5,1
1.0,0.0,v6,v1,0.22,v3,1.0,0.0,v1,2.0,96085.0,v3,v2,v3,v3,0.37,847.0,33.3,v2,45.0,80.5,0.813,214.0,2.0,v1,1.0,304.0,1.0,0.939,553.0,v1,0.629,595.0,v1,4014.0,0.168,v3,v1,v3,v2,2.0,6300.0,4.0,v4,7.88,3.0,v2,v2,v5,2.0,v3,1.0,6.35,1.0,v2,v5,v2,v2,54702.0,5651.0,49.5,0.0,49.9,v1,2.0,v2,16079.0,v5,v1,6.97,2.0,7352.0,0.15,2704.0,2.0,86.0,79.2,5.0,v1,1.0,v1,5.45,v1,v1,45.7,4.29,2.0,576.0,v1,v3,2.0,v2,v2,0.0,5578.0,v4,v3,v4,v1,v4,0
0.0,1.0,v2,v4,0.25,v2,1.0,2.0,v4,0.0,65137.0,v1,v2,v2,v2,0.21,753.0,33.5,v2,40.0,77.1,0.916,213.0,0.0,v1,0.0,317.0,0.0,0.921,668.0,v1,0.459,600.0,v6,4036.0,0.6,v5,v4,v3,v1,1.0,5972.0,2.0,v2,7.95,0.0,v4,v2,v5,1.0,v1,2.0,7.22,1.0,v5,v2,v3,v2,62997.0,6350.0,53.4,1.0,31.0,v4,0.0,v1,20360.0,v1,v2,6.14,0.0,6568.0,0.26,7980.0,1.0,69.0,79.1,0.0,v2,1.0,v2,3.76,v1,v2,63.1,4.42,0.0,471.0,v2,v2,0.0,v1,v1,0.0,5518.0,v2,v1,v6,v1,v3,1
0.0,4.0,v5,v3,0.48,v1,0.0,0.0,v1,2.0,34916.0,v1,v1,v4,v3,0.09,592.0,31.0,v2,51.0,70.3,0.94,254.0,0.0,v1,0.0,465.0,1.0,0.926,794.0,v2,0.498,616.0,v4,5245.0,0.156,v1,v1,v5,v2,2.0,6401.0,3.0,v4,7.92,3.0,v2,v1,v5,0.0,v1,1.0,3.86,1.0,v2,v4,v1,v2,60262.0,5880.0,25.0,1.0,38.4,v4,1.0,v2,19923.0,v5,v4,6.02,3.0,5836.0,0.42,2565.0,1.0,82.0,79.4,2.0,v5,0.0,v2,5.41,v3,v2,53.6,4.37,2.0,434.0,v4,v3,2.0,v1,v1,0.0,5882.0,v3,v3,v4,v2,v3,1
1.0,0.0,v2,v4,0.24,v2,1.0,2.0,v4,1.0,73023.0,v3,v1,v2,v2,0.33,521.0,33.5,v2,46.0,66.1,0.94,265.0,2.0,v1,0.0,298.0,2.0,0.91,663.0,v1,0.605,640.0,v2,6167.0,0.152,v1,v4,v4,v1,3.0,6402.0,2.0,v2,8.76,3.0,v6,v2,v6,2.0,v3,1.0,3.84,0.0,v4,v1,v3,v2,54334.0,6319.0,51.3,0.0,45.0,v3,1.0,v2,16072.0,v3,v3,7.5,0.0,6911.0,0.25,7634.0,2.0,93.0,79.5,3.0,v5,0.0,v1,6.62,v1,v2,46.1,8.0,0.0,384.0,v1,v2,0.0,v2,v1,0.0,5615.0,v3,v3,v2,v2,v4,0
1.0,2.0,v3,v4,0.23,v2,1.0,1.0,v4,2.0,35642.0,v1,v2,v2,v5,0.55,884.0,33.5,v1,39.0,72.4,0.93,190.0,2.0,v3,0.0,428.0,3.0,0.943,853.0,v1,0.597,597.0,v1,6106.0,0.462,v1,v4,v5,v2,2.0,6239.0,3.0,v4,7.51,3.0,v2,v2,v2,1.0,v2,3.0,3.84,0.0,v2,v4,v3,v2,53290.0,6448.0,49.5,1.0,40.3,v1,1.0,v1,21931.0,v3,v2,6.58,1.0,6978.0,0.28,4420.0,0.0,75.0,79.3,3.0,v2,1.0,v2,4.14,v1,v1,47.0,3.93,1.0,439.0,v4,v1,0.0,v1,v2,0.0,5670.0,v5,v3,v1,v2,v2,0
1.0,1.0,v1,v1,0.13,v1,0.0,2.0,v4,3.0,34590.0,v1,v2,v3,v3,0.36,740.0,37.1,v2,46.0,78.8,0.959,248.0,4.0,v2,1.0,427.0,3.0,0.929,743.0,v2,0.446,612.0,v5,4008.0,0.167,v5,v4,v4,v1,1.0,6082.0,4.0,v3,7.32,3.0,v3,v1,v2,0.0,v1,1.0,6.9,1.0,v3,v5,v3,v1,54701.0,5865.0,63.8,0.0,60.2,v5,1.0,v1,20279.0,v5,v1,6.8,3.0,5822.0,0.29,2987.0,2.0,69.0,84.5,1.0,v3,1.0,v4,5.41,v2,v2,58.5,4.54,3.0,364.0,v3,v3,0.0,v1,v2,1.0,5512.0,v2,v1,v6,v2,v1,1
0.0,4.0,v1,v3,0.42,v1,1.0,0.0,v2,1.0,35712.0,v1,v1,v3,v1,0.26,904.0,33.6,v2,35.0,75.7,0.947,239.0,2.0,v4,0.0,408.0,0.0,0.933,567.0,v1,0.534,599.0,v4,5448.0,0.684,v4,v1,v3,v2,0.0,6051.0,3.0,v3,8.52,3.0,v3,v2,v3,0.0,v2,0.0,6.93,0.0,v1,v1,v1,v2,52571.0,6310.0,32.4,0.0,34.3,v2,0.0,v1,22178.0,v5,v4,7.09,1.0,6879.0,0.15,2427.0,1.0,93.0,79.4,4.0,v2,0.0,v2,6.67,v1,v2,44.0,4.53,1.0,478.0,v5,v3,1.0,v2,v1,1.0,5535.0,v5,v2,v2,v1,v5,1
0.0,2.0,v5,v4,0.2,v1,0.0,1.0,v4,3.0,65746.0,v1,v2,v2,v3,0.41,605.0,34.9,v2,63.0,84.2,0.848,211.0,0.0,v3,1.0,420.0,2.0,0.938,670.0,v1,0.447,603.0,v3,5782.0,0.284,v2,v2,v5,v2,2.0,6379.0,3.0,v3,7.31,2.0,v3,v3,v4,0.0,v5,1.0,3.84,0.0,v2,v4,v1,v3,53411.0,6268.0,50.8,1.0,30.5,v3,2.0,v1,21182.0,v2,v3,7.49,2.0,7224.0,0.49,2564.0,2.0,87.0,83.2,3.0,v2,0.0,v3,5.43,v3,v2,46.9,3.48,0.0,491.0,v1,v1,0.0,v2,v2,0.0,6134.0,v2,v3,v5,v1,v5,0
1.0,4.0,v2,v2,0.26,v1,0.0,2.0,v1,1.0,94896.0,v2,v2,v5,v2,0.28,870.0,31.6,v1,37.0,71.4,0.958,231.0,2.0,v2,0.0,485.0,1.0,0.937,554.0,v1,0.658,645.0,v2,6538.0,0.511,v5,v4,v4,v1,2.0,6146.0,4.0,v5,8.13,3.0,v6,v3,v1,2.0,v4,3.0,6.54,0.0,v3,v3,v2,v1,54900.0,6901.0,14.7,0.0,38.0,v1,0.0,v1,13012.0,v4,v2,6.42,2.0,7010.0,0.55,2624.0,1.0,93.0,83.8,3.0,v2,0.0,v4,3.6,v1,v2,46.0,4.41,3.0,479.0,v4,v2,2.0,v2,v2,1.0,5189.0,v4,v3,v4,v2,v4,0
1.0,3.0,v1,v4,0.25,v1,0.0,1.0,v4,0.0,36567.0,v2,v1,v4,v4,0.21,263.0,37.2,v2,52.0,79.3,0.921,264.0,3.0,v2,1.0,444.0,2.0,0.927,820.0,v1,0.641,647.0,v1,4045.0,0.328,v4,v3,v4,v2,2.0,6402.0,3.0,v5,7.34,0.0,v6,v3,v3,1.0,v5,1.0,4.56,0.0,v5,v1,v1,v3,42400.0,6441.0,42.4,1.0,32.8,v4,2.0,v1,20389.0,v4,v3,6.56,2.0,5989.0,0.3,2634.0,0.0,71.0,79.1,5.0,v4,1.0,v3,6.47,v1,v1,45.4,5.36,0.0,884.0,v5,v1,2.0,v2,v1,1.0,5541.0,v2,v3,v3,v2,v5,0
0.0,2.0,v5,v4,0.04,v1,1.0,3.0,v4,2.0,71918.0,v1,v1,v2,v2,0.45,876.0,33.4,v2,48.0,71.1,0.921,199.0,3.0,v3,0.0,385.0,1.0,0.939,607.0,v1,0.679,647.0,v5,5799.0,0.16,v4,v4,v2,v1,3.0,7356.0,4.0,v5,7.65,3.0,v1,v3,v2,2.0,v4,3.0,6.85,0.0,v1,v1,v1,v2,41491.0,6270.0,67.9,1.0,29.9,v3,1.0,v2,15726.0,v3,v1,7.18,2.0,6910.0,0.61,2982.0,1.0,72.0,81.4,3.0,v3,0.0,v3,3.63,v2,v2,56.3,4.59,0.0,479.0,v1,v2,0.0,v2,v1,1.0,5499.0,v3,v3,v1,v2,v1,0
0.0,1.0,v5,v1,0.43,v1,1.0,0.0,v1,1.0,68419.0,v1,v1,v1,v2,0.56,385.0,33.4,v1,35.0,75.9,0.852,248.0,4.0,v2,1.0,428.0,2.0,0.924,719.0,v1,0.643,655.0,v5,6766.0,0.838,v5,v2,v4,v1,3.0,7165.0,2.0,v5,7.45,3.0,v4,v1,v1,2.0,v3,1.0,4.99,1.0,v1,v3,v3,v1,52040.0,6391.0,29.5,1.0,30.6,v4,2.0,v2,19422.0,v4,v1,5.57,1.0,5864.0,0.26,3147.0,2.0,68.0,79.1,3.0,v2,1.0,v1,4.08,v3,v1,45.5,4.62,3.0,560.0,v1,v3,0.0,v2,v1,0.0,5515.0,v2,v3,v4,v2,v2,1
0.0,3.0,v3,v1,0.42,v1,0.0,0.0,v1,2.0,35601.0,v2,v2,v5,v4,0.17,702.0,33.3,v2,57.0,71.3,0.812,266.0,4.0,v1,0.0,421.0,0.0,0.933,712.0,v2,0.648,651.0,v1,6326.0,0.476,v2,v1,v1,v1,2.0,6296.0,3.0,v5,7.51,2.0,v1,v2,v5,0.0,v2,0.0,6.95,0.0,v3,v1,v2,v2,52254.0,6370.0,51.6,1.0,61.3,v1,2.0,v2,16569.0,v5,v3,7.17,0.0,5970.0,0.15,3313.0,2.0,88.0,82.6,2.0,v5,1.0,v2,3.38,v3,v1,60.3,5.54,0.0,389.0,v2,v2,0.0,v1,v2,0.0,5975.0,v3,v1,v3,v2,v5,1
1.0,0.0,v5,v2,0.25,v3,1.0,1.0,v1,3.0,39083.0,v1,v1,v5,v6,0.42,456.0,31.1,v1,42.0,80.7,0.916,222.0,0.0,v1,1.0,470.0,4.0,0.917,879.0,v1,0.618,656.0,v1,6142.0,0.151,v5,v1,v2,v1,2.0,6242.0,1.0,v4,8.06,3.0,v1,v1,v6,2.0,v4,1.0,3.93,1.0,v2,v2,v3,v1,55024.0,6338.0,45.4,1.0,60.7,v4,0.0,v2,19336.0,v3,v2,6.77,2.0,6759.0,0.45,2648.0,2.0,72.0,79.4,4.0,v1,0.0,v3,4.09,v1,v1,44.5,3.62,2.0,660.0,v3,v1,1.0,v2,v1,1.0,5530.0,v4,v3,v4,v2,v3,1
1.0,0.0,v5,v1,0.08,v1,1.0,3.0,v4,3.0,92303.0,v3,v2,v4,v6,0.36,868.0,33.3,v1,33.0,68.8,0.886,286.0,4.0,v2,1.0,393.0,2.0,0.939,650.0,v1,0.67,660.0,v6,4011.0,0.555,v5,v1,v3,v2,3.0,7317.0,0.0,v3,7.27,3.0,v3,v2,v5,0.0,v4,0.0,6.92,1.0,v3,v5,v3,v3,44347.0,6275.0,53.4,1.0,31.2,v5,1.0,v1,15364.0,v4,v1,5.58,0.0,7319.0,0.16,7711.0,2.0,62.0,84.0,0.0,v2,1.0,v3,3.54,v1,v1,47.3,7.9,2.0,361.0,v3,v3,2.0,v2,v2,1.0,5527.0,v4,v1,v1,v2,v1,0
1.0,1.0,v1,v4,0.44,v1,1.0,1.0,v1,1.0,34951.0,v1,v1,v1,v1,0.26,784.0,37.1,v2,41.0,68.6,0.899,256.0,0.0,v4,1.0,459.0,3.0,0.91,866.0,v2,0.552,648.0,v6,4069.0,0.553,v3,v2,v3,v2,0.0,6400.0,0.0,v2,8.62,1.0,v6,v1,v4,2.0,v5,0.0,4.97,1.0,v3,v1,v3,v2,63831.0,6300.0,56.5,1.0,30.9,v4,2.0,v1,16084.0,v2,v4,6.88,1.0,6212.0,0.34,8065.0,0.0,66.0,80.9,5.0,v2,0.0,v2,4.11,v2,v1,48.6,3.84,1.0,582.0,v6,v2,1.0,v1,v1,1.0,5357.0,v1,v3,v3,v2,v2,0
0.0,4.0,v5,v1,0.25,v2,1.0,1.0,v2,3.0,72001.0,v2,v1,v2,v2,0.29,360.0,34.0,v1,47.0,69.7,0.958,279.0,4.0,v1,0.0,344.0,1.0,0.932,802.0,v1,0.628,648.0,v1,5275.0,0.18,v5,v4,v4,v2,0.0,6592.0,4.0,v1,7.34,3.0,v4,v1,v6,2.0,v3,0.0,5.0,1.0,v3,v1,v3,v1,51118.0,6408.0,67.0,0.0,41.7,v5,0.0,v2,16700.0,v1,v3,5.58,2.0,6917.0,0.74,5362.0,2.0,93.0,82.8,4.0,v5,0.0,v4,4.21,v3,v1,58.5,4.63,1.0,664.0,v2,v1,0.0,v1,v2,1.0,5703.0,v5,v3,v5,v1,v4,0
