V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,class
1.26,48679.0,35.1,1.84,38277.0,0.191,78.6,89.0,4.56,6.9,52.9,v2,0.863,74.7,7160.0,743.0,0.342,6.27,0.66,815.0,23.9,0.3,1.15,90.9,6.9,0.597,0.48,0.59,9.39,0.41,v2,47.6,0.41,30.4,71.6,0.44,56028.0,6.82,0.831,v2,0
3.46,53755.0,36.9,2.11,37193.0,0.218,72.4,67.0,4.37,8.9,52.2,v2,0.688,80.1,4945.0,795.0,0.769,6.22,0.3,601.0,32.4,0.29,0.39,91.3,7.86,0.779,0.372,0.58,9.06,0.26,v1,54.6,0.44,59.5,68.6,0.43,59995.0,6.34,0.741,v3,0
2.98,50291.0,16.8,1.01,21486.0,0.339,78.2,89.0,4.35,5.3,50.2,v1,0.864,97.6,6139.0,761.0,0.621,4.86,0.61,304.0,24.2,0.28,0.49,87.8,6.82,0.105,0.461,0.5,9.05,0.59,v1,60.3,0.6,18.0,71.9,0.73,64023.0,8.02,0.753,v3,0
1.19,56147.0,37.0,1.67,22692.0,0.218,77.9,73.0,4.7,4.6,54.3,v1,0.633,75.8,6811.0,742.0,0.599,6.14,0.16,648.0,24.3,0.35,0.45,76.7,7.8,0.829,0.55,0.88,8.2,0.62,v1,56.0,0.41,54.7,68.4,0.83,22119.0,6.33,0.754,v2,0
3.73,55213.0,32.5,1.85,63747.0,0.316,77.6,66.0,4.7,3.5,52.1,v1,0.721,75.7,5562.0,796.0,0.76,5.94,0.63,355.0,31.0,0.29,1.13,96.3,7.01,0.405,0.622,0.93,8.52,0.62,v2,58.6,0.48,81.8,71.2,0.79,17174.0,7.5,0.816,v1,0
1.84,46329.0,46.5,1.83,24146.0,0.316,76.0,76.0,4.52,8.4,50.2,v1,0.644,98.5,4482.0,759.0,0.647,3.6,0.25,570.0,24.7,0.25,2.66,92.7,6.69,0.281,0.626,0.45,9.22,0.25,v2,52.2,0.36,59.6,62.4,0.71,34091.0,7.54,0.764,v2,0
3.39,46145.0,14.0,2.36,92087.0,0.315,79.5,89.0,4.4,7.5,56.0,v1,0.689,74.7,6409.0,771.0,0.637,3.47,0.51,603.0,34.7,0.46,3.85,74.9,7.22,0.434,0.619,0.54,9.13,0.62,v1,59.3,0.47,29.4,70.6,0.43,17360.0,8.48,0.764,v1,0
2.29,55431.0,28.5,2.23,24183.0,0.168,74.9,90.0,4.58,6.7,51.0,v1,0.71,39.8,4951.0,803.0,0.627,3.18,0.39,345.0,23.9,0.42,4.09,73.6,7.72,0.108,0.404,0.45,9.34,0.61,v2,57.5,0.42,21.3,57.4,0.88,38435.0,7.34,0.725,v3,0
3.54,52540.0,39.0,0.92,24045.0,0.169,78.4,78.0,4.7,8.5,51.7,v2,0.648,80.1,7418.0,747.0,0.487,6.06,0.48,224.0,26.1,0.18,0.4,85.5,6.7,0.478,0.623,0.65,9.06,0.32,v1,61.6,0.5,88.0,55.9,0.36,23075.0,7.16,0.758,v1,0
3.52,54905.0,38.5,1.86,59518.0,0.172,73.0,74.0,4.68,6.8,50.2,v1,0.697,97.3,6110.0,763.0,0.311,6.25,0.65,619.0,24.3,0.46,2.25,82.0,6.75,0.33,0.523,0.9,9.32,0.24,v2,58.3,0.42,28.3,70.3,0.52,79769.0,6.44,0.704,v3,0
3.47,55208.0,18.1,1.86,59240.0,0.305,75.3,93.0,4.63,8.7,55.4,v2,0.639,97.6,5675.0,765.0,0.581,3.0,0.46,608.0,24.2,0.3,1.9,72.3,7.1,0.772,0.382,0.93,9.57,0.32,v2,60.7,0.45,65.2,65.2,0.53,56360.0,6.97,0.761,v2,0
3.76,49099.0,13.6,1.83,22556.0,0.167,79.4,72.0,4.38,8.7,52.2,v2,0.815,40.2,6578.0,807.0,0.519,4.12,0.13,680.0,34.3,0.26,3.42,85.4,6.93,0.966,0.361,0.94,9.04,0.25,v1,52.6,0.58,61.6,67.1,0.54,71877.0,7.46,0.686,v3,1
1.84,45972.0,39.9,2.34,54926.0,0.167,79.0,66.0,4.23,7.9,51.4,v1,0.681,96.0,5028.0,753.0,0.252,3.75,0.7,823.0,28.0,0.16,3.86,76.6,6.97,0.812,0.614,0.96,9.24,0.24,v1,48.6,0.53,21.3,61.1,0.51,56789.0,8.56,0.736,v2,0
3.68,53213.0,43.7,2.31,23901.0,0.497,76.2,83.0,4.25,8.6,50.4,v1,0.592,88.5,6804.0,810.0,0.852,5.43,0.45,595.0,28.0,0.29,1.65,78.0,7.01,0.702,0.346,0.86,9.05,0.27,v2,60.9,0.37,26.8,63.5,0.87,59721.0,8.12,0.824,v3,1
3.21,53499.0,40.4,2.08,24373.0,0.17,73.5,58.0,4.27,6.0,50.4,v2,0.637,87.8,4213.0,786.0,0.643,6.25,0.6,814.0,34.4,0.15,1.83,82.5,6.78,0.905,0.341,0.79,9.57,0.53,v1,60.5,0.44,27.8,71.2,0.7,65057.0,7.54,0.843,v3,0
2.38,52991.0,43.9,0.29,22939.0,0.166,72.4,72.0,4.68,8.4,50.5,v2,0.649,85.5,4397.0,781.0,0.357,6.16,0.36,595.0,24.6,0.28,0.47,81.9,6.9,0.315,0.349,0.73,9.17,0.4,v2,57.6,0.43,18.0,56.3,0.46,51739.0,7.94,0.761,v3,0
3.37,54396.0,43.3,2.8,40033.0,0.391,78.2,67.0,4.56,6.4,50.4,v2,0.646,74.7,7364.0,797.0,0.456,6.24,0.49,822.0,29.0,0.47,1.5,83.6,7.04,0.31,0.457,0.52,9.33,0.62,v1,59.4,0.44,60.1,56.1,0.55,17289.0,7.61,0.772,v2,0
3.57,54110.0,51.2,2.06,24795.0,0.218,72.0,66.0,4.59,8.5,51.0,v1,0.645,75.9,4155.0,791.0,0.237,4.55,0.68,792.0,25.3,0.35,1.89,98.0,7.03,0.27,0.37,0.98,9.08,0.4,v2,51.7,0.42,23.0,54.8,0.39,76668.0,6.57,0.705,v1,0
1.64,54358.0,29.1,3.33,38988.0,0.151,79.4,81.0,4.41,8.3,53.7,v1,0.692,76.8,7408.0,778.0,0.641,6.1,0.52,302.0,29.8,0.47,3.95,79.2,7.42,0.259,0.556,0.84,9.04,0.62,v1,57.0,0.35,77.1,55.6,0.63,59655.0,7.81,0.769,v2,0
3.28,55916.0,23.7,2.18,95491.0,0.497,78.2,67.0,4.48,8.5,50.2,v1,0.834,78.6,4713.0,769.0,0.737,4.89,0.14,598.0,26.2,0.47,0.94,93.8,6.94,0.758,0.572,0.72,9.1,0.41,v2,59.4,0.43,33.6,72.0,0.52,59659.0,6.27,0.809,v2,0
3.38,55070.0,41.6,2.33,81732.0,0.274,72.8,69.0,4.38,6.8,52.5,v2,0.646,94.2,7489.0,744.0,0.407,4.98,0.68,816.0,29.1,0.38,1.61,63.8,7.24,0.267,0.332,0.57,9.57,0.33,v1,50.3,0.45,19.0,55.4,0.89,75451.0,7.75,0.816,v3,0
3.55,55516.0,30.4,2.04,57591.0,0.154,79.5,51.0,4.64,7.4,51.2,v2,0.634,97.7,7431.0,809.0,0.648,4.88,0.15,608.0,25.5,0.47,3.49,78.6,6.82,0.506,0.379,0.88,9.01,0.35,v1,58.6,0.4,75.4,68.8,0.89,14672.0,7.28,0.71,v3,1
3.29,55548.0,22.9,2.16,51427.0,0.321,77.7,62.0,4.37,3.8,54.1,v2,0.694,75.2,6250.0,796.0,0.241,5.87,0.32,597.0,24.6,0.22,1.87,77.5,6.85,0.241,0.622,0.91,9.12,0.35,v2,48.0,0.6,26.3,71.4,0.88,16022.0,8.09,0.719,v2,0
3.59,55766.0,33.4,2.01,78772.0,0.15,75.2,65.0,4.6,4.6,53.9,v1,0.618,92.4,5476.0,743.0,0.752,4.06,0.17,488.0,25.2,0.39,0.4,93.9,6.96,0.839,0.622,0.86,9.47,0.27,v1,61.9,0.46,64.9,57.4,0.73,20945.0,6.6,0.712,v1,0
3.57,55001.0,14.4,1.9,19804.0,0.304,78.9,93.0,4.6,5.4,50.2,v2,0.68,82.7,7074.0,800.0,0.88,6.12,0.65,600.0,30.0,0.26,3.79,83.1,7.21,0.55,0.446,0.6,9.09,0.62,v1,59.7,0.45,22.2,65.6,0.69,20732.0,7.85,0.724,v2,0
3.54,54217.0,24.7,2.12,57595.0,0.167,72.8,85.0,4.63,7.8,51.8,v1,0.864,97.5,6042.0,740.0,0.646,4.38,0.72,823.0,26.2,0.4,2.84,94.2,6.81,0.238,0.467,0.88,9.09,0.42,v1,58.7,0.44,36.3,67.5,0.66,85855.0,6.39,0.742,v1,0
1.8,46122.0,39.6,1.91,92047.0,0.34,78.2,62.0,4.23,9.4,50.2,v1,0.645,34.1,6944.0,805.0,0.492,4.46,0.48,238.0,26.3,0.47,2.77,89.2,7.05,0.274,0.509,0.85,9.48,0.32,v1,55.2,0.45,61.5,63.2,0.38,16730.0,6.55,0.729,v2,0
3.72,54734.0,27.9,0.54,59074.0,0.315,78.8,82.0,4.6,3.7,50.8,v2,0.647,97.1,5853.0,772.0,0.638,5.14,0.72,549.0,34.3,0.47,3.2,94.3,6.83,0.799,0.538,0.89,9.09,0.34,v2,58.9,0.43,20.8,58.9,0.7,56865.0,7.46,0.747,v2,0
3.31,56607.0,47.0,1.26,58845.0,0.316,77.5,70.0,4.65,5.1,54.2,v1,0.68,92.4,4687.0,740.0,0.63,6.3,0.64,692.0,26.6,0.27,0.67,82.3,6.96,0.21,0.62,0.59,9.04,0.46,v1,49.3,0.57,22.4,60.4,0.19,82618.0,7.15,0.821,v2,0
1.64,55081.0,45.8,1.1,47695.0,0.164,83.2,94.0,4.59,5.3,51.9,v2,0.521,39.3,6260.0,740.0,0.649,4.36,0.71,607.0,32.7,0.17,0.45,91.1,7.6,0.135,0.593,0.76,9.22,0.3,v1,58.8,0.38,20.4,60.4,0.82,82546.0,7.47,0.736,v2,0
2.79,52892.0,36.9,3.01,25675.0,0.315,77.2,89.0,4.4,4.8,50.4,v1,0.506,99.1,5472.0,760.0,0.626,6.17,0.7,610.0,33.7,0.3,3.87,80.6,7.15,0.725,0.595,0.57,9.83,0.35,v1,61.7,0.5,77.2,61.6,0.38,57980.0,8.12,0.745,v3,0
3.54,48717.0,12.4,1.94,35550.0,0.164,77.2,72.0,4.68,9.5,52.2,v2,0.834,71.5,4288.0,741.0,0.253,6.05,0.35,710.0,24.0,0.46,2.36,80.0,6.71,0.794,0.626,0.68,9.37,0.48,v2,53.7,0.43,20.5,70.9,0.19,21676.0,6.6,0.736,v1,0
2.02,49460.0,46.0,1.98,24415.0,0.296,77.4,93.0,4.67,5.6,50.3,v2,0.682,78.0,5872.0,752.0,0.887,5.87,0.45,601.0,27.1,0.26,3.43,82.0,6.99,0.158,0.371,0.82,9.5,0.23,v1,53.6,0.42,26.5,72.6,0.46,69130.0,6.21,0.843,v2,0
3.3,55260.0,39.7,2.27,88950.0,0.498,83.3,62.0,4.4,4.9,53.2,v2,0.563,98.7,5563.0,760.0,0.525,6.0,0.42,609.0,25.9,0.3,3.96,69.5,8.61,0.868,0.34,0.84,9.73,0.35,v1,55.9,0.52,74.4,68.8,0.47,83003.0,6.77,0.728,v2,0
3.84,46493.0,37.9,2.24,76253.0,0.165,77.7,67.0,4.7,4.4,50.2,v2,0.641,95.6,7249.0,762.0,0.625,3.92,0.43,821.0,27.7,0.22,1.98,64.2,8.63,0.63,0.612,0.61,9.1,0.31,v1,49.3,0.45,29.2,71.8,0.66,18895.0,6.4,0.779,v3,0
2.83,53079.0,48.0,2.88,78737.0,0.26,77.3,73.0,4.6,5.0,50.4,v2,0.858,74.4,6610.0,743.0,0.389,5.56,0.49,572.0,26.3,0.22,2.73,67.9,7.51,0.198,0.621,0.54,9.12,0.25,v2,59.1,0.55,67.0,61.5,0.84,35832.0,7.36,0.769,v2,1
3.59,51840.0,35.2,3.01,38322.0,0.189,77.5,93.0,4.29,8.2,54.5,v2,0.716,74.6,7444.0,745.0,0.253,6.07,0.37,600.0,30.8,0.45,0.47,71.2,7.05,0.746,0.611,0.84,9.04,0.44,v2,48.6,0.43,18.1,57.6,0.87,22967.0,6.76,0.75,v1,0
3.38,53126.0,35.7,1.51,24245.0,0.316,72.3,94.0,4.63,7.7,51.8,v1,0.598,90.3,4408.0,746.0,0.253,4.66,0.56,821.0,26.6,0.38,2.48,83.5,6.9,0.508,0.333,0.92,9.18,0.62,v1,51.6,0.42,69.8,64.8,0.55,23177.0,6.5,0.824,v1,0
1.47,53233.0,40.8,2.98,89757.0,0.316,72.3,73.0,4.33,9.1,51.2,v1,0.863,76.7,5457.0,760.0,0.25,4.17,0.58,598.0,34.7,0.34,3.6,81.1,6.74,0.47,0.337,0.87,9.31,0.41,v1,48.7,0.36,20.9,55.7,0.63,15259.0,6.42,0.766,v1,0
3.05,48257.0,39.8,0.54,88019.0,0.323,78.0,70.0,4.46,8.6,51.4,v2,0.662,68.7,6855.0,809.0,0.253,5.99,0.56,689.0,24.0,0.28,3.0,84.7,7.03,0.188,0.625,0.52,9.07,0.23,v1,51.8,0.5,81.9,70.1,0.88,52728.0,7.24,0.763,v1,0
3.63,46250.0,15.6,1.85,92124.0,0.154,75.4,94.0,4.62,8.7,52.2,v2,0.864,97.7,7130.0,796.0,0.474,6.09,0.36,380.0,26.8,0.27,3.17,89.1,6.86,0.803,0.602,0.59,9.15,0.23,v2,60.8,0.36,18.4,70.9,0.88,86776.0,6.29,0.711,v1,1
2.19,46078.0,35.5,0.43,24481.0,0.148,78.0,61.0,4.45,7.2,51.3,v2,0.478,82.7,5735.0,762.0,0.266,4.65,0.67,733.0,24.9,0.17,2.91,97.2,8.1,0.256,0.594,0.4,9.01,0.4,v1,58.1,0.42,59.9,57.3,0.32,20672.0,6.8,0.738,v2,0
3.73,52944.0,38.0,0.61,91336.0,0.496,71.6,94.0,4.27,4.6,50.6,v1,0.525,90.3,6035.0,785.0,0.528,3.45,0.71,607.0,32.2,0.24,1.95,90.4,7.22,0.375,0.522,0.8,9.16,0.52,v2,58.7,0.43,57.5,71.8,0.89,64216.0,7.34,0.716,v1,0
2.84,52808.0,41.4,2.37,28483.0,0.472,76.3,68.0,4.48,7.2,52.4,v2,0.649,91.3,7312.0,762.0,0.46,6.12,0.16,629.0,33.4,0.45,0.85,98.9,6.96,0.926,0.335,0.54,9.15,0.6,v2,58.1,0.48,28.4,69.5,0.78,52767.0,8.17,0.75,v3,1
3.5,53529.0,26.8,0.57,54733.0,0.201,72.4,93.0,4.7,6.3,50.2,v2,0.621,96.7,7213.0,798.0,0.624,6.32,0.46,796.0,27.6,0.29,3.13,82.6,7.57,0.268,0.603,0.59,9.06,0.62,v1,58.3,0.35,71.7,59.2,0.4,14390.0,6.27,0.682,v1,0
3.85,47902.0,15.2,1.83,96494.0,0.155,78.3,77.0,4.33,9.4,52.4,v1,0.649,82.5,6106.0,780.0,0.236,5.67,0.73,823.0,24.9,0.28,3.98,91.5,6.81,0.107,0.594,0.93,8.27,0.37,v1,50.6,0.45,59.5,57.6,0.55,42454.0,7.56,0.743,v3,0
3.85,56340.0,51.1,2.11,58935.0,0.316,72.5,56.0,4.51,7.0,51.3,v1,0.696,44.0,6040.0,740.0,0.593,3.03,0.38,604.0,34.2,0.31,1.07,84.5,8.39,0.581,0.617,0.86,9.25,0.52,v2,50.7,0.53,67.0,64.3,0.57,44665.0,6.59,0.756,v1,0
3.25,50017.0,26.9,2.95,29467.0,0.311,76.7,94.0,4.59,7.8,52.8,v1,0.654,79.3,4862.0,805.0,0.67,4.79,0.7,588.0,33.3,0.22,1.3,82.9,6.7,0.158,0.62,0.4,9.26,0.31,v2,58.1,0.4,61.4,57.8,0.87,53165.0,7.58,0.688,v2,0
1.6,50338.0,38.4,2.02,22229.0,0.166,78.7,83.0,4.61,8.2,50.2,v1,0.544,84.0,6352.0,799.0,0.25,5.11,0.17,610.0,25.2,0.3,3.74,68.2,8.67,0.302,0.335,0.71,9.65,0.34,v1,54.8,0.55,22.2,63.8,0.51,19755.0,7.06,0.813,v3,0
3.66,54923.0,22.4,2.04,21773.0,0.392,81.2,93.0,4.36,6.9,50.2,v1,0.624,95.2,7045.0,808.0,0.851,4.19,0.69,269.0,23.9,0.25,3.49,89.8,8.02,0.341,0.524,0.68,9.11,0.29,v1,50.7,0.47,53.4,71.3,0.64,54649.0,7.18,0.774,v1,0
3.85,56519.0,39.8,2.4,39670.0,0.159,78.1,68.0,4.33,8.1,50.2,v2,0.863,96.7,5454.0,745.0,0.361,6.15,0.17,412.0,33.4,0.41,2.45,85.7,6.94,0.532,0.526,0.84,9.72,0.23,v1,48.8,0.61,26.7,55.1,0.84,62009.0,7.3,0.693,v3,0
1.19,46800.0,26.2,2.98,23462.0,0.352,77.5,71.0,4.57,5.2,50.2,v2,0.477,62.9,6488.0,806.0,0.252,6.05,0.68,811.0,32.3,0.29,2.54,65.6,8.15,0.228,0.498,0.95,8.24,0.24,v1,60.6,0.38,88.6,62.9,0.47,19642.0,8.48,0.76,v3,0
3.72,46521.0,48.6,1.89,59636.0,0.154,84.6,79.0,4.57,6.5,51.2,v2,0.686,97.5,4156.0,763.0,0.396,4.78,0.64,531.0,34.7,0.2,2.97,88.9,6.98,0.107,0.624,0.98,9.66,0.62,v2,50.9,0.42,65.1,69.8,0.87,77591.0,7.55,0.734,v1,0
3.65,54679.0,39.9,3.22,57260.0,0.298,73.2,58.0,4.47,5.8,50.2,v1,0.824,88.4,5133.0,810.0,0.631,5.6,0.6,819.0,33.0,0.17,3.71,83.3,7.14,0.745,0.481,0.54,9.07,0.4,v2,60.5,0.43,66.3,72.1,0.55,25729.0,7.64,0.792,v2,0
3.4,50618.0,20.5,2.77,51988.0,0.496,78.6,68.0,4.54,3.4,50.5,v1,0.683,96.2,6717.0,746.0,0.27,6.25,0.38,292.0,25.0,0.36,0.39,77.7,7.14,0.239,0.611,0.86,9.61,0.61,v2,48.6,0.57,59.8,55.7,0.45,42180.0,7.64,0.692,v2,0
3.52,48825.0,38.6,0.69,92837.0,0.165,72.3,87.0,4.69,7.5,50.2,v1,0.686,39.4,4135.0,743.0,0.685,6.04,0.73,725.0,30.9,0.24,4.08,93.7,7.89,0.854,0.605,0.64,9.08,0.24,v2,58.2,0.44,59.4,69.8,0.45,70860.0,7.33,0.746,v2,0
2.1,51811.0,24.7,2.02,43688.0,0.316,77.8,73.0,4.59,5.4,55.2,v2,0.654,41.0,6907.0,783.0,0.241,5.4,0.7,674.0,24.1,0.22,3.5,95.6,7.02,0.681,0.481,0.49,9.03,0.43,v2,60.7,0.4,67.4,62.7,0.88,23409.0,6.6,0.742,v2,0
2.15,46628.0,37.0,2.7,21904.0,0.268,76.7,85.0,4.46,7.8,53.2,v1,0.668,96.7,6132.0,809.0,0.62,6.18,0.23,818.0,26.6,0.3,3.32,85.1,7.78,0.805,0.473,0.9,9.56,0.39,v2,60.5,0.46,68.3,64.2,0.45,50112.0,6.35,0.72,v1,1
3.65,54276.0,40.9,0.38,20689.0,0.496,78.4,68.0,4.38,6.4,51.2,v1,0.638,77.6,4392.0,760.0,0.642,6.15,0.52,327.0,26.6,0.17,3.38,63.6,6.78,0.497,0.458,0.68,9.08,0.48,v2,50.2,0.45,55.0,68.6,0.49,25829.0,6.21,0.753,v2,0
2.3,56185.0,27.1,2.18,77370.0,0.166,73.8,80.0,4.37,7.2,50.3,v2,0.697,90.2,4281.0,776.0,0.651,6.32,0.72,551.0,29.9,0.17,3.58,94.4,7.04,0.523,0.499,0.92,9.34,0.24,v2,58.9,0.48,19.5,62.8,0.32,57925.0,7.09,0.754,v3,1
3.76,56161.0,51.3,2.25,51318.0,0.166,78.3,94.0,4.61,3.9,50.2,v2,0.63,88.7,5039.0,750.0,0.614,6.19,0.7,821.0,32.2,0.28,2.32,83.7,6.78,0.318,0.326,0.79,9.63,0.53,v1,47.5,0.44,40.8,72.0,0.77,85208.0,8.55,0.75,v3,0
3.51,48734.0,49.9,2.61,84527.0,0.161,76.5,92.0,4.69,7.9,50.3,v2,0.696,97.2,4292.0,799.0,0.648,5.04,0.44,673.0,28.5,0.46,2.54,97.2,6.92,0.215,0.447,0.89,9.08,0.26,v2,60.9,0.44,61.7,61.5,0.53,63229.0,6.56,0.742,v2,0
1.91,55117.0,34.4,2.93,81391.0,0.481,77.7,94.0,4.37,7.9,51.1,v2,0.864,98.8,4372.0,770.0,0.26,3.57,0.59,603.0,24.1,0.26,2.35,83.9,7.2,0.12,0.623,0.88,9.04,0.6,v2,58.5,0.57,20.6,71.4,0.43,49771.0,6.89,0.835,v2,0
2.96,53793.0,45.2,1.16,51924.0,0.246,79.7,94.0,4.59,7.2,50.5,v1,0.863,78.4,6836.0,754.0,0.643,6.19,0.15,598.0,26.3,0.2,0.75,93.1,7.2,0.264,0.464,0.84,9.13,0.6,v2,60.9,0.38,68.6,62.9,0.72,21530.0,6.25,0.785,v2,0
2.9,52689.0,51.4,2.19,69991.0,0.227,77.5,70.0,4.69,9.4,53.3,v1,0.65,74.2,4808.0,765.0,0.611,5.45,0.56,415.0,26.6,0.41,2.78,96.2,6.7,0.762,0.626,0.85,9.74,0.6,v1,54.2,0.47,59.6,66.1,0.42,73791.0,7.53,0.722,v3,1
3.88,49371.0,39.8,2.2,58176.0,0.172,72.7,71.0,4.64,6.8,52.1,v2,0.655,88.2,6733.0,791.0,0.846,3.72,0.13,633.0,25.2,0.27,0.79,87.8,8.25,0.266,0.625,0.57,9.1,0.25,v1,54.3,0.59,61.4,66.7,0.38,31161.0,7.03,0.762,v1,0
2.99,55961.0,30.7,0.34,84601.0,0.315,74.6,73.0,4.68,8.3,51.9,v1,0.686,95.3,4942.0,808.0,0.565,5.93,0.41,610.0,27.3,0.25,0.55,84.5,6.72,0.462,0.395,0.91,9.06,0.27,v1,61.6,0.49,68.7,55.4,0.64,14937.0,8.34,0.725,v2,0
2.9,55434.0,13.7,3.25,83010.0,0.316,76.5,72.0,4.29,9.1,52.5,v2,0.524,69.4,5895.0,754.0,0.645,5.95,0.72,610.0,27.9,0.3,3.27,85.0,6.98,0.256,0.607,0.39,9.06,0.26,v2,48.5,0.61,58.0,64.3,0.21,54209.0,6.81,0.816,v3,0
3.73,54055.0,46.1,3.12,24452.0,0.316,71.2,70.0,4.53,8.2,52.6,v2,0.672,83.6,6039.0,808.0,0.334,5.98,0.64,519.0,33.7,0.21,3.48,86.2,6.99,0.399,0.49,0.9,9.39,0.24,v1,59.0,0.35,19.8,62.6,0.63,19445.0,6.7,0.738,v3,1
2.99,46164.0,41.3,0.37,84079.0,0.151,77.2,64.0,4.66,8.2,50.2,v2,0.581,82.0,4322.0,748.0,0.308,5.99,0.6,597.0,33.2,0.19,3.33,72.8,7.12,0.574,0.57,0.5,9.53,0.42,v2,50.4,0.42,68.1,67.5,0.68,69693.0,7.5,0.748,v1,0
3.81,51966.0,28.8,0.62,58676.0,0.169,82.3,93.0,4.24,8.1,50.7,v1,0.606,95.9,4814.0,808.0,0.793,5.71,0.17,823.0,26.0,0.23,2.73,74.4,7.19,0.295,0.624,0.98,9.28,0.39,v1,57.6,0.45,62.2,59.8,0.49,64594.0,6.96,0.766,v1,0
2.93,46454.0,37.9,1.85,89366.0,0.165,79.0,94.0,4.31,9.5,51.5,v1,0.708,98.2,6473.0,761.0,0.642,5.43,0.43,697.0,26.7,0.37,3.64,97.8,6.94,0.757,0.615,0.9,9.11,0.24,v1,50.9,0.59,82.1,59.9,0.55,23082.0,7.45,0.74,v3,0
3.58,55198.0,42.7,1.91,64164.0,0.166,78.6,66.0,4.67,6.0,51.2,v1,0.611,82.0,5970.0,792.0,0.275,6.01,0.38,441.0,27.2,0.24,3.59,73.5,6.98,0.176,0.612,0.87,9.72,0.27,v1,60.6,0.42,28.6,71.2,0.32,35936.0,6.25,0.754,v3,0
3.53,54233.0,48.7,2.03,81893.0,0.312,77.8,87.0,4.64,6.4,50.2,v2,0.649,95.3,5294.0,790.0,0.24,4.38,0.16,670.0,26.2,0.27,3.94,96.1,7.21,0.954,0.504,0.94,9.08,0.43,v1,47.0,0.42,51.7,57.1,0.68,43991.0,7.56,0.748,v3,0
3.8,50645.0,25.1,1.93,57775.0,0.165,71.5,94.0,4.69,3.4,50.3,v2,0.864,90.3,5844.0,740.0,0.489,6.2,0.23,736.0,24.0,0.46,3.78,92.4,7.02,0.293,0.341,0.94,9.13,0.54,v1,58.0,0.42,19.8,57.9,0.82,34699.0,6.59,0.71,v2,0
2.37,51149.0,51.2,0.67,50861.0,0.164,75.6,94.0,4.51,8.3,53.2,v1,0.561,88.0,5258.0,753.0,0.644,4.2,0.69,350.0,30.0,0.47,2.28,79.8,7.03,0.676,0.342,0.61,9.1,0.24,v1,59.9,0.37,62.1,60.2,0.25,81338.0,7.59,0.781,v2,0
2.3,56429.0,51.0,0.4,73399.0,0.315,77.9,78.0,4.29,5.3,52.2,v2,0.537,77.8,6511.0,806.0,0.476,6.11,0.15,608.0,29.9,0.47,1.98,83.5,6.75,0.138,0.509,0.7,9.53,0.38,v1,57.5,0.63,17.9,71.6,0.34,30705.0,7.39,0.779,v1,0
3.67,56189.0,38.0,2.99,72324.0,0.216,78.5,51.0,4.52,5.3,50.2,v2,0.668,83.5,5207.0,762.0,0.358,3.33,0.57,600.0,26.0,0.47,3.48,67.5,7.06,0.187,0.527,0.53,9.13,0.58,v2,53.4,0.44,60.2,67.6,0.52,52963.0,6.53,0.711,v3,0
3.5,49839.0,50.0,1.83,77623.0,0.316,78.2,70.0,4.65,9.4,50.8,v1,0.667,94.3,6329.0,810.0,0.238,6.21,0.69,818.0,31.2,0.17,3.6,75.9,6.69,0.186,0.618,0.68,9.06,0.34,v2,52.2,0.44,87.8,59.0,0.63,31996.0,7.47,0.718,v3,0
1.36,55176.0,15.4,1.97,77054.0,0.148,78.4,93.0,4.52,7.9,52.7,v2,0.864,96.3,5589.0,742.0,0.243,4.49,0.17,621.0,24.2,0.3,0.45,80.5,7.02,0.233,0.423,0.92,9.15,0.4,v1,58.7,0.35,59.4,72.8,0.73,77456.0,8.34,0.765,v2,1
3.8,55449.0,35.5,1.83,59748.0,0.498,72.7,71.0,4.37,4.5,51.4,v2,0.756,74.3,5940.0,748.0,0.736,4.39,0.7,226.0,33.3,0.27,2.23,74.5,6.71,0.179,0.464,0.51,9.54,0.57,v2,58.1,0.44,21.6,70.9,0.24,50596.0,7.08,0.749,v3,0
3.88,54980.0,26.3,2.55,74149.0,0.463,77.1,93.0,4.63,9.5,50.2,v1,0.643,81.5,4634.0,755.0,0.434,4.28,0.6,230.0,28.4,0.21,2.13,69.7,7.04,0.604,0.564,0.87,9.03,0.41,v1,58.4,0.56,21.1,56.8,0.8,37737.0,7.03,0.714,v2,0
3.6,53158.0,28.0,1.0,22476.0,0.316,76.4,94.0,4.68,8.0,51.3,v2,0.863,80.5,4699.0,762.0,0.239,3.75,0.43,596.0,26.8,0.22,3.79,71.0,8.6,0.781,0.343,0.68,9.05,0.62,v2,47.0,0.48,80.0,71.0,0.84,35614.0,6.6,0.82,v2,0
3.73,55679.0,22.0,1.84,58714.0,0.223,71.1,93.0,4.31,7.2,51.8,v2,0.606,82.5,5846.0,803.0,0.607,4.89,0.68,713.0,31.5,0.18,3.38,89.5,7.04,0.82,0.617,0.96,9.67,0.62,v2,48.5,0.36,77.8,56.0,0.65,83051.0,7.58,0.76,v1,1
2.42,56691.0,45.6,2.61,55642.0,0.167,77.5,54.0,4.58,5.2,50.2,v2,0.65,79.7,4512.0,777.0,0.283,6.36,0.65,819.0,33.7,0.17,3.23,73.7,8.51,0.501,0.542,0.94,9.09,0.33,v1,48.8,0.35,41.9,65.9,0.58,57633.0,7.07,0.839,v1,0
